NO_MUNICIPIO_PROVA,UF,QTD_PARTICIPANTES,NU_NOTA_CN_MEDIA,NU_NOTA_CH_MEDIA,NU_NOTA_LC_MEDIA,NU_NOTA_MT_MEDIA,NU_NOTA_REDACAO_MEDIA,RENDA_FAMILIAR_SM_MEDIA,CLUSTER
APARECIDA DE GOIÂNIA,GO,6002,481.89170276574475,504.83052315894696,520.2532155948016,501.71799400199933,569.8333888703766,1.8630120860147543,2
APARECIDA DO TABOADO,MS,195,496.67589743589747,518.1517948717949,540.2215384615384,524.3533333333334,596.8205128205128,2.488888888888889,1
APIAÍ,SP,313,477.80383386581474,512.9629392971245,534.3603833865815,514.088498402556,557.3801916932907,2.018181818181818,2
APODI,RN,1097,475.68505013673655,491.2118505013674,507.7709206927985,506.48659981768463,594.0018231540565,1.2799295774647887,2
APUCARANA,PR,1497,500.736539746159,532.074415497662,540.0509018036072,537.2303941215765,564.0080160320641,2.56020942408377,1
APUÍ,AM,84,470.1797619047619,481.277380952381,494.222619047619,493.9535714285714,474.76190476190476,1.6482889733840305,0
AQUIDAUANA,MS,762,459.08188976377954,478.7332020997375,496.4776902887139,469.82965879265095,513.3595800524935,1.5941629955947136,0
AQUIRAZ,CE,842,476.4036817102138,498.5231591448931,512.4077197149644,505.8019002375297,603.3491686460808,1.5263299301450832,2
ARACAJU,SE,17722,501.9029454914795,520.9378681864349,531.5964620246021,526.9121995260128,620.2742354136102,2.443545915761517,1
ARACATI,CE,1409,468.87636621717536,493.605180979418,514.0539389638042,502.4081618168914,569.638041163946,1.3131987017670392,2
ARACI,BA,397,467.3219143576826,483.660201511335,499.25390428211585,482.93047858942066,557.984886649874,1.2879234167893963,2
ARACOIABA,CE,765,447.8261437908497,465.7216993464052,485.0911111111111,471.9792156862745,528.3921568627451,1.0340022296544036,0
ARACRUZ,ES,1387,500.42328767123286,524.5874549387166,529.8623648161499,536.2759192501802,593.0641672674838,2.2617200674536257,1
ARAGARÇAS,GO,268,469.1194029850746,479.6003731343283,496.489552238806,474.28656716417913,506.86567164179104,1.5985185185185184,0
ARAGUANÃ,TO,73,442.572602739726,433.26164383561644,453.32328767123283,434.75479452054793,477.26027397260276,1.146067415730337,0
ARAGUARI,MG,1433,514.6057920446615,540.029448709002,546.7293789253314,550.1252616887648,623.3914863921842,2.5877594090749207,1
ARAGUATINS,TO,766,459.2019582245431,478.01553524804183,498.5968668407311,474.59556135770237,550.7310704960836,1.5840618695359785,0
ARAGUAÍNA,TO,4387,476.0021426943241,491.18908137679506,507.99705949395945,493.0950763619786,564.8233416913608,1.9045079714128643,2
ARAIOSES,MA,221,444.74615384615385,455.36425339366514,476.889592760181,450.3841628959276,532.0361990950227,1.126,0
ARAME,MA,229,433.92183406113537,448.1205240174673,469.84847161572054,456.92751091703053,497.117903930131,1.2016129032258065,0
ARAPIRACA,AL,7589,476.900816971933,495.34853076821713,510.25992884438006,503.42303333772566,575.3959678482014,1.564696673189824,2
ARAPOEMA,TO,92,443.70978260869566,449.7184782608696,475.8684782608696,451.91739130434786,514.7826086956521,1.4337349397590362,0
ARAPONGAS,PR,1080,499.15888888888884,526.9669444444445,539.5749074074074,534.8425925925926,575.8518518518518,2.731319188191882,1
ARAPOTI,PR,180,496.425,513.0611111111111,527.1427777777777,524.6727777777778,544.8888888888889,2.918711656441718,2
ARAPUTANGA,MT,220,469.17636363636365,488.7440909090909,506.4786363636364,480.68,582.8181818181819,1.934640522875817,2
ARARANGUÁ,SC,916,505.90534934497816,531.0013100436681,539.4252183406113,541.3657205240174,594.061135371179,2.8498810939357906,1
ARARAQUARA,SP,2635,526.0751423149906,552.952523719165,560.715559772296,570.9393548387096,623.2485768500949,3.05286599535244,1
ARARAS,SP,921,538.2909880564604,560.3641693811076,564.6402823018458,589.441910966341,640.3474484256243,3.1255230125523012,1
ARARI,MA,800,451.21637499999997,471.3535,490.43712500000004,457.4475,532.6,1.1295045045045045,0
ARARIPE,CE,466,459.76545064377683,479.0457081545064,495.49742489270386,485.70000000000005,580.1716738197425,1.0336294416243654,2
ARARIPINA,PE,1953,466.35273937532,484.3354326676907,499.46001024065544,493.98607270865335,591.6436251920123,1.2633789670192905,2
ARARUAMA,RJ,1258,498.7112877583466,524.843561208267,536.837440381558,531.3919713831478,591.3354531001589,2.0779267850670533,1
ARARUNA,PB,553,453.9526220614828,476.91989150090416,489.5305605786619,475.4473779385172,549.005424954792,1.132870864461046,0
ARATUBA,CE,303,447.7772277227723,463.8518151815182,482.0405940594059,475.53465346534654,511.8811881188119,0.9579326923076923,0
ARAUCÁRIA,PR,1416,495.24823446327684,530.2773305084745,536.5177259887006,532.9588276836158,562.2033898305085,2.464840182648402,1
ARAXÁ,MG,1211,525.8061932287367,552.1440132122214,552.7810900082577,577.1551610239471,659.306358381503,2.9906183368869934,1
ARAÇATUBA,SP,1919,523.8565398645128,548.2214695153726,555.1681083897864,573.4052631578948,623.293381969776,3.1346467391304347,1
ARAÇOIABA,PE,347,449.3161383285303,458.0276657060519,486.40230547550436,460.0847262247838,491.23919308357347,1.112436115843271,0
ARAÇOIABA DA SERRA,SP,262,503.5729007633588,524.4282442748092,541.7938931297709,538.2473282442747,563.8167938931298,2.6558544303797467,1
ARAÇUAÍ,MG,1019,473.84995093228656,502.6869479882237,513.5170755642787,497.72649656526005,566.8302257114818,1.5338401177047571,2
ARCOS,MG,447,512.5937360178971,548.6610738255033,555.399552572707,575.1608501118568,661.5659955257271,2.722921914357683,1
ARCOVERDE,PE,2027,482.651455352738,503.40000000000003,519.8146028613714,515.1241243216576,573.0932412432165,1.479527559055118,2
AREADO,MG,446,495.95717488789234,531.3567264573991,534.2988789237668,550.9143497757847,623.4529147982063,1.9908906882591093,1
AREIA,PB,615,468.4105691056911,487.6530081300813,494.359674796748,472.3439024390244,556.520325203252,1.3536960985626283,0
AREIA BRANCA,SE,830,460.7778313253012,473.38156626506026,496.88578313253015,476.95036144578313,539.4698795180723,1.3771929824561404,0
ARENÁPOLIS,MT,221,458.2429864253394,474.2692307692308,492.9108597285068,479.0995475113122,503.2579185520362,2.0559360730593608,0
ARINOS,MG,462,464.52229437229437,486.2385281385282,499.6582251082251,481.9469696969697,538.0952380952381,1.395435244161359,0
ARIPUANÃ,MT,62,475.6725806451613,494.35806451612905,506.7935483870968,492.43387096774194,554.516129032258,2.1294642857142856,2
ARIQUEMES,RO,1397,477.0488188976378,493.8645669291339,508.94924838940585,492.55991410164637,534.0157480314961,1.8373493975903614,2
