MUNICIPIO,UF,QTD_PARTICIPANTES,NOTA_CN_MEDIA,NOTA_CH_MEDIA,NOTA_LC_MEDIA,NOTA_MT_MEDIA,NOTA_REDACAO_MEDIA,NOTA_GERAL_MEDIA,RENDA_FAMILIAR_SM_MEDIA
ARAÇUAÍ,MG,2406,461.42061512884453,545.2546965918538,488.3718204488778,453.4512053200333,518.4580216126351,493.3912718204489,1.2739465713222164
ARCOS,MG,1087,498.55216191352343,573.3823367065318,521.2896044158234,509.67092916283354,561.508739650414,532.8807543698252,2.717775041050903
ARCOVERDE,PE,3995,465.80392991239046,550.6520650813517,494.4606508135169,455.0408760951189,526.048310387985,498.40116645807257,1.352009611183923
AREADO,MG,1269,481.9909377462569,563.9453900709219,506.1297872340425,485.4109535066982,550.4649330181245,517.5884003152089,1.864825581395349
AREIA,PB,1060,461.7965094339622,542.9909433962264,486.4006603773585,438.2102830188679,530.0735849056604,491.8943962264151,1.2033794788273615
AREIA BRANCA,RN,1704,458.39131455399064,536.7523474178404,481.6183685446009,435.7075117370892,524.1079812206573,487.3155046948356,1.3600049164208456
ARENÁPOLIS,MT,407,460.021375921376,540.8503685503686,483.9029484029484,431.94692874692873,510.7886977886978,485.5020638820639,1.845673076923077
ARINOS,MG,1009,457.7921704658077,529.5417244796828,472.8572844400396,441.40188305252724,489.09811694747276,478.138235877106,1.238037307380373
ARIPUANÃ,MT,291,456.9192439862543,538.0233676975945,474.4460481099656,440.4539518900344,487.35395189003435,479.4393127147767,2.2299757281553396
ARIQUEMES,RO,3564,470.01534792368125,546.8134118967453,485.5617003367003,441.40039281705947,500.7348484848485,488.90514029180696,1.837960269916273
AROEIRAS,PB,792,447.1320707070707,533.8503787878788,470.96628787878785,426.5598484848485,508.19444444444446,477.34060606060604,0.7900602409638554
ARRAIAS,TO,526,438.9340304182509,524.6878326996198,461.904752851711,420.15437262357415,486.27376425855516,466.39095057034217,1.123766447368421
ARROIO DO MEIO,RS,345,493.931884057971,576.7095652173913,525.3747826086956,510.8249275362319,577.3913043478261,536.8464927536231,3.17688679245283
ARROIO GRANDE,RS,784,460.02946428571425,545.2786989795918,493.03265306122444,443.63201530612247,505.58673469387753,489.5119132653061,1.3989021043000915
ARTUR NOGUEIRA,SP,1637,488.90818570555894,572.9095296273672,519.2416615760537,489.9466096518021,547.1264508246793,523.6264874770923,2.486584227718152
ARUJÁ,SP,2477,483.4510698425515,564.3284214775939,519.6452159870811,475.33209527654424,538.7807832054905,516.3075171578523,2.5791309863621947
ASSARÉ,CE,1236,440.6417475728155,520.0636731391585,458.7970064724919,434.9276699029126,504.3996763754045,471.76595469255665,0.8169683257918552
