COD_MUNICIPIO,UF,QTD_PARTICIPANTES,NOTA_CN_MEDIA,NOTA_CH_MEDIA,NOTA_LC_MEDIA,NOTA_MT_MEDIA,NOTA_REDACAO_MEDIA,NOTA_GERAL_MEDIA,MUNICIPIO,RENDA_FAMILIAR_SM_MEDIA,CLUSTER
1300409,AM,124,454.60322580645163,484.5967741935484,504.0225806451613,489.21854838709675,531.7741935483871,492.843064516129,BARCELOS,1.6421052631578947,0
1300508,AM,399,427.77644110275685,457.35087719298247,469.74736842105267,450.18872180451126,506.8671679197995,462.3861152882206,BARREIRINHA,0.7903481012658228,0
1300607,AM,551,415.7843920145191,437.51869328493643,443.76297640653354,441.67695099818513,436.33393829401086,435.01539019963695,BENJAMIN CONSTANT,0.6787833827893175,0
1300631,AM,103,415.71941747572816,445.4796116504854,468.34466019417476,465.2349514563106,516.6990291262136,462.2955339805825,BERURI,0.9861878453038674,0
1300680,AM,205,418.57268292682926,448.21073170731705,467.1829268292683,441.54487804878045,491.3170731707317,453.3656585365854,BOA VISTA DO RAMOS,0.8698910081743869,0
1300706,AM,351,430.24245014245014,462.4464387464388,490.39259259259256,474.8820512820513,558.9173789173789,483.3761823361823,BOCA DO ACRE,1.1611842105263157,0
1300805,AM,172,425.5494186046512,454.7087209302325,472.05523255813955,457.0151162790698,495.93023255813955,461.05174418604656,BORBA,1.0633047210300428,0
1300839,AM,76,429.1921052631579,448.40000000000003,472.8013157894737,457.7013157894737,503.6842105263158,462.35578947368424,CAAPIRANGA,0.9454887218045113,0
1300904,AM,45,436.29555555555555,469.4977777777778,479.14666666666665,456.15777777777777,507.55555555555554,469.73066666666665,CANUTAMA,0.9676470588235294,0
1301001,AM,168,426.0267857142857,452.10952380952375,470.3964285714286,460.885119047619,518.2142857142857,465.52642857142854,CARAUARI,1.1509803921568627,0
1301100,AM,184,427.8440217391304,457.6576086956522,481.0,458.4130434782609,500.9782608695652,465.17858695652166,CAREIRO,1.25,0
1301159,AM,109,434.2073394495413,471.08440366972474,487.5587155963303,463.5642201834862,531.559633027523,477.5948623853211,CAREIRO DA VÁRZEA,1.100558659217877,0
1301209,AM,1191,435.5136859781696,458.1703610411419,479.14156171284634,457.81242653232573,530.2602854743913,472.17966414777504,COARI,1.035294117647059,0
