MUNICIPIO,UF,QTD_PARTICIPANTES,NOTA_CN_MEDIA,NOTA_CH_MEDIA,NOTA_LC_MEDIA,NOTA_MT_MEDIA,NOTA_REDACAO_MEDIA,MEDIA_GERAL,RENDA_FAMILIAR_SM_MEDIA,CLUSTER
CORUMBÁ,MS,1347,476.29175946547883,506.45189309576836,503.2445434298441,487.2547141796585,552.6354862657759,505.1756792873051,1.4851524879614768,1
CORURIPE,AL,931,473.4351235230934,494.93888292158965,496.6919441460795,501.6268528464017,607.7551020408164,514.8895810955962,1.052790346907994,1
COSMÓPOLIS,SP,516,509.7470930232558,545.8705426356589,535.6837209302325,553.3947674418605,624.4186046511628,553.822945736434,2.4231378763866878,2
COSTA RICA,MS,234,483.9111111111111,507.47222222222223,510.7645299145299,500.29273504273505,574.7008547008547,515.4282905982906,2.0401119402985075,1
COTIA,SP,2674,515.2862378459237,548.9998878085265,544.0731862378459,568.6833582647719,638.0104712041884,563.0106282722512,2.3853889627659575,2
COXIM,MS,596,477.960067114094,503.4694630872483,495.8911073825503,488.86325503355704,536.0402684563759,500.44483221476514,1.7496827411167513,1
CRATEÚS,CE,1880,479.7013829787234,507.6477127659574,503.4459574468085,512.5347872340426,630.6489361702128,526.795755319149,0.9637829246139873,1
CRATO,CE,2916,502.0252743484225,528.9397119341563,521.1948216735254,538.656207133059,662.2085048010974,550.6049039780521,1.1949647122692726,2
CRICIÚMA,SC,2724,519.9178046989722,544.5704111600587,539.0845814977973,577.5975403817914,678.1057268722467,571.8552129221732,2.74635761589404,2
CRISTALINA,GO,523,482.76768642447416,507.1003824091778,503.0577437858509,517.1514340344169,595.602294455067,521.1359082217973,1.8322557471264367,1
CRISTALÂNDIA,TO,178,455.66235955056175,477.6915730337079,481.51348314606736,475.35842696629214,557.6404494382023,489.5732584269663,1.3688524590163935,0
CRUZ,CE,386,479.9782383419689,507.6753886010363,510.07357512953365,539.4774611398964,610.6735751295337,529.5756476683938,0.954177897574124,1
CRUZ ALTA,RS,855,505.713918128655,534.3992982456141,531.4547368421053,545.2245614035088,630.6432748538011,549.4871578947368,2.2760416666666665,2
CRUZ DAS ALMAS,BA,1891,483.00872554204125,505.47218402961397,499.60216816499207,496.69566367001585,597.1866737176098,516.3930830248546,1.0015910055154857,1
CRUZEIRO,SP,997,516.9164493480441,550.6552657973922,538.9609829488465,574.393781344032,682.5476429287863,572.6948244734203,2.258415841584158,2
CRUZEIRO DO SUL,AC,2306,464.0801387684302,495.44644405897657,495.7376843018214,476.79418907198607,586.2792714657415,503.66754553339115,1.1450563746747615,1
CUBATÃO,SP,990,494.1848484848485,528.7923232323233,529.670909090909,534.4817171717172,597.4949494949495,536.9249494949496,1.926838514025777,2
CUIABÁ,MT,11847,505.7560648265383,532.2522410736896,523.4789735798092,543.4293660842408,629.967080273487,546.9767451675531,2.243943612948138,2
CUITÉ,PB,1483,469.24214430209037,491.8541469993257,488.9651382333109,485.76217127444374,581.9959541469993,503.5639109912339,0.7057713052858684,1
CUPIRA,PE,490,480.2073469387755,514.3136734693878,507.3771428571428,521.3248979591837,662.2857142857143,537.1017551020408,0.8661790017211703,1
CURAÇÁ,BA,454,457.2955947136564,481.3762114537445,480.00925110132164,476.1977973568282,560.6167400881058,491.09911894273125,0.8217353951890034,0
CURITIBA,PR,25894,531.3757241059704,557.6853054761721,550.3098246698077,591.3709778327026,649.3272572796786,576.0138178728663,2.7067352498386983,2
CURITIBANOS,SC,473,488.7241014799154,519.8771670190275,515.3443974630021,518.5849894291755,599.9154334038055,528.4892177589852,2.2065587734241907,1
CURRAIS NOVOS,RN,1984,488.4139616935484,519.8944556451613,511.2100806451613,515.374495967742,618.1451612903226,530.607631048387,1.2445844385499558,1
CURRALINHO,PA,423,444.19739952718675,463.9430260047281,458.07895981087466,442.3290780141844,556.0756501182033,472.92482269503546,0.7587591240875913,0
CURURUPU,MA,382,451.23560209424085,482.67094240837696,476.09659685863875,466.379057591623,557.696335078534,486.8157068062827,0.7838809034907598,0
CURUÇÁ,PA,952,456.2850840336135,476.8036764705882,474.2531512605042,447.0436974789916,539.6848739495798,478.8140966386554,0.6836575875486381,0
CURVELO,MG,1296,511.748688271605,538.3903549382716,527.6623456790123,551.6524691358024,665.1697530864197,558.9247222222223,1.804044630404463,2
CUSTÓDIA,PE,488,481.4516393442623,499.9702868852459,495.21331967213115,512.8213114754099,593.688524590164,516.6290163934426,0.9595914742451155,1
CÁCERES,MT,1358,483.48085419734906,507.8352724594993,498.22002945508103,498.3911634756995,609.4698085419735,519.4794256259205,1.698341489940185,1
CÂNDIDO MOTA,SP,263,500.54752851711027,531.2825095057034,529.4338403041826,538.832319391635,629.3536121673004,545.8899619771863,2.1240671641791047,2
CÂNDIDO SALES,BA,715,469.66699300699304,491.5888111888112,484.6544055944056,493.92769230769227,584.1678321678322,504.80114685314686,0.861368909512761,1
CÍCERO DANTAS,BA,946,476.44238900634247,502.8776955602537,495.27188160676536,497.6659619450317,603.5095137420719,515.1534883720931,0.8713275299238302,1
DELMIRO GOUVEIA,AL,1552,462.2981958762887,486.7076675257732,484.1581829896907,477.33659793814434,578.6984536082474,497.8398195876289,0.825498266897747,0
DIADEMA,SP,4461,497.02658596727196,534.0846895314951,532.8726967047747,535.5001793319883,603.1696928939699,540.5307688859,1.949011532125206,2
DIAMANTE,PB,254,461.21062992125985,480.48976377952755,474.6003937007874,489.0929133858268,638.0314960629921,508.6850393700787,0.7102473498233216,0
DIAMANTINA,MG,2094,504.7723495702006,528.5388252148997,518.0103629417383,532.3599331423113,634.3457497612226,543.6054441260745,1.5478038621734191,2
DIAMANTINO,MT,324,473.81944444444446,503.6361111111111,499.27777777777777,496.46141975308643,576.6666666666666,509.9722839506173,1.958841463414634,1
DIANÓPOLIS,TO,403,453.43027295285356,475.1044665012407,475.03027295285364,459.1057071960298,531.166253101737,478.767394540943,1.2674199623352165,0
DIAS D'ÁVILA,BA,880,486.3561363636364,509.5443181818182,510.7181818181818,490.15204545454543,574.9090909090909,514.3359545454546,1.1483924154987635,1
DIONÍSIO CERQUEIRA,SC,417,493.68537170263784,533.8621103117506,523.089448441247,539.6652278177457,615.0119904076738,541.0628297362109,2.2991990846681922,2
