MUNICIPIO,UF,QTD_PARTICIPANTES,NOTA_CN_MEDIA,NOTA_CH_MEDIA,NOTA_LC_MEDIA,NOTA_MT_MEDIA,NOTA_REDACAO_MEDIA,MEDIA_GERAL,RENDA_FAMILIAR_SM_MEDIA
ANORI,AM,199,439.22512562814074,494.4728643216081,482.7110552763819,437.7015075376885,486.83417085427135,468.1889447236181,0.8730769230769231
ANÁPOLIS,GO,13500,482.42642962962964,539.7523259259259,524.5248074074075,495.08265185185184,544.3466666666667,517.2265762962963,1.8511453596092302
APARECIDA,SP,1035,483.27942028985507,545.1919806763285,535.8463768115942,507.96405797101454,549.0280193236715,524.2619710144927,2.140582191780822
APARECIDA DE GOIÂNIA,GO,11650,469.19857510729616,529.3184806866952,515.6835793991416,479.50739055793986,524.0074678111588,503.5430987124463,1.7507542174609039
APARECIDA DO TABOADO,MS,434,471.45576036866356,521.8709677419355,512.9965437788019,477.6377880184331,512.1658986175115,499.22539170506917,1.8374558303886925
APIAÍ,SP,837,468.2083632019116,529.331421744325,524.4823178016727,483.48554360812426,526.7622461170848,506.4539784946237,1.8336623889437316
APODI,RN,2328,466.20837628865985,513.084235395189,500.4994845360825,475.2058419243986,531.6026632302405,497.3201202749141,0.993864500518493
APUCARANA,PR,3701,481.3132396649554,539.1796271278033,528.8407457443934,503.16241556336126,532.3507160226966,516.9693488246419,2.215305711987128
APUÍ,AM,286,451.48426573426576,499.44125874125876,490.40174825174824,454.12552447552446,471.2587412587413,473.3423076923077,1.3641732283464567
AQUIDAUANA,MS,1844,459.80206073752714,514.2337852494577,499.01941431670286,466.75612798264643,495.54284164859,487.07084598698486,1.3337685817597429
AQUIRAZ,CE,2023,470.89228868017796,525.9729609490855,510.92916460701923,472.05778546712804,535.3311913000495,503.03667820069205,1.1661994393271926
ARACAJU,SE,31991,487.7920915257416,541.2886593104311,522.4339501734863,493.1710887437092,561.8412365977931,521.3054052702322,1.679598429186724
ARACATI,CE,3346,466.2984757919904,519.2040944411237,507.30131500298864,468.9131500298864,529.8505678421997,498.3135206216378,1.0103534687417568
ARACI,BA,744,457.958064516129,511.9043010752688,496.0860215053763,461.7879032258065,520.1881720430108,489.58489247311826,0.9784394250513347
ARACOIABA,CE,1228,454.48656351791533,501.76653094462546,494.10439739413675,449.2394951140065,500.814332247557,480.08226384364815,0.794670245398773
ARACRUZ,ES,3197,490.4938066937754,543.6416015014075,524.8944948389114,509.4609634031905,541.8748827025336,522.0731498279636,2.01
ARAGARÇAS,GO,775,462.42554838709674,520.1637419354839,509.5812903225806,466.2358709677419,500.7483870967742,491.83096774193547,1.4431918656056588
ARAGUANÃ,TO,225,446.05066666666664,489.752,482.3608888888889,433.92044444444446,463.3777777777778,463.0923555555556,0.8805460750853242
ARAGUARI,MG,3571,488.6699803976477,545.4675441052926,532.9620554466536,504.9316437972556,561.8426211145337,526.7747689722767,2.1380350637522767
ARAGUATINS,TO,1366,463.4314055636896,509.9103953147877,498.7735724743777,463.1295021961933,504.0849194729136,487.8659590043923,1.2134381013470172
ARAGUAÍNA,TO,8686,465.8863458438867,520.1074027170159,505.2266290582547,468.3288395118581,523.5286668201704,496.6155767902372,1.6168038408779148
