COD_MUNICIPIO,UF,QTD_PARTICIPANTES,NOTA_CN_MEDIA,NOTA_CH_MEDIA,NOTA_LC_MEDIA,NOTA_MT_MEDIA,NOTA_REDACAO_MEDIA,NOTA_GERAL_MEDIA,MUNICIPIO,RENDA_FAMILIAR_SM_MEDIA
3143104,MG,693,495.42987012987015,529.4216450216451,522.0920634920635,548.9600288600288,655.0649350649351,550.1937085137085,MONTE CARMELO,1.9254557291666667
3143302,MG,7681,512.5160265590418,552.8428199453197,537.4962504882177,573.5343054289806,710.5533133706549,577.3885431584429,MONTES CLAROS,1.93485435875943
3143401,MG,301,506.487707641196,547.6774086378738,539.2923588039868,577.6242524916943,669.9667774086379,568.2097009966777,MONTE SIÃO,2.520138888888889
3143906,MG,1831,507.31496450027305,543.5347351174222,531.6203713817586,570.5392135445112,699.6723102129984,570.5363189513926,MURIAÉ,1.816205533596838
3144003,MG,208,494.48125000000005,537.2596153846154,517.0394230769231,558.4533653846154,675.2884615384615,556.5044230769231,MUTUM,1.427734375
3144102,MG,546,506.9899267399267,539.9576923076924,529.2734432234432,566.4558608058609,660.07326007326,560.5500366300366,MUZAMBINHO,2.0390222984562607
3144300,MG,390,484.63461538461536,518.0348717948718,511.1138461538461,527.536923076923,625.6410256410256,533.3922564102564,NANUQUE,1.3889908256880734
3144607,MG,277,505.5256317689531,536.9494584837545,523.4667870036101,554.4797833935017,665.6317689530686,557.2106859205776,NEPOMUCENO,1.77421875
3144706,MG,329,493.5364741641337,534.8085106382979,520.5884498480243,551.1942249240121,644.1337386018237,548.8522796352584,NOVA ERA,1.7746835443037974
3144805,MG,1089,523.4812672176308,565.5209366391185,552.3281910009183,598.9083562901744,686.4095500459136,585.3296602387511,NOVA LIMA,2.496299722479186
3145208,MG,595,503.2497478991596,543.7047058823529,537.9868907563025,568.2631932773108,663.1596638655462,563.2728403361345,NOVA SERRANA,2.2342041312272176
3145307,MG,350,469.5362857142857,513.0134285714286,497.5617142857143,520.3697142857143,629.7142857142857,526.0390857142858,NOVO CRUZEIRO,1.1368483412322274
3145604,MG,938,509.2367803837953,549.7159914712154,533.4261194029851,569.0351812366738,706.545842217484,573.5919829424307,OLIVEIRA,1.941020191285866
3145901,MG,560,519.9692857142857,561.0346428571429,548.453392857143,593.0616071428572,689.4642857142857,582.3966428571429,OURO BRANCO,2.536144578313253
3146008,MG,286,512.220979020979,540.0625874125874,526.3276223776224,570.7062937062936,665.4545454545455,562.9544055944056,OURO FINO,2.2389380530973453
3146107,MG,1098,508.6214025500911,547.0712204007285,536.1920765027322,564.8246812386157,659.2349726775956,563.1888706739526,OURO PRETO,2.1613418530351436
3146305,MG,190,478.8378947368421,513.5826315789474,506.45105263157893,526.411052631579,613.3684210526316,527.7302105263158,PADRE PARAÍSO,1.031853281853282
3147006,MG,901,504.6285238623751,537.3263041065483,525.2340732519423,559.5046614872364,670.9877913429523,559.5362708102109,PARACATU,2.214711274060495
3147105,MG,1133,520.6263901147396,557.3582524271845,538.5653133274493,591.5228596646073,716.7696381288614,584.9684907325684,PARÁ DE MINAS,2.3749025720966483
3147402,MG,273,508.3271062271062,544.303663003663,528.0926739926739,568.540293040293,661.978021978022,562.2483516483516,PARAOPEBA,1.988532110091743
3147907,MG,1876,504.79013859275057,543.7884328358209,532.3038912579957,573.3003198294242,690.1492537313433,568.8664072494669,PASSOS,2.228917050691244
3148004,MG,2100,520.5837142857143,557.8837619047619,542.3264285714286,585.852238095238,725.4380952380952,586.4168476190476,PATOS DE MINAS,2.4369276556776556
3148103,MG,952,507.81165966386556,543.9052521008404,532.9774159663865,570.180987394958,704.2016806722689,571.8153991596639,PATROCÍNIO,2.382844129554656
3149309,MG,564,515.2907801418439,556.0923758865248,537.9170212765957,573.9473404255319,671.950354609929,571.0395744680851,PEDRO LEOPOLDO,2.2558670143415904
3150802,MG,306,482.6813725490196,526.1287581699346,507.5591503267974,548.8055555555555,661.437908496732,545.3225490196079,PIRANGA,1.2744215938303343
3151206,MG,794,496.3846347607053,529.5052896725441,522.8870277078086,543.3624685138539,649.8740554156171,548.4026952141058,PIRAPORA,1.8212074303405572
3151404,MG,313,503.1099041533546,545.2325878594249,532.7054313099042,578.8319488817891,707.4760383386581,573.4711821086263,PITANGUI,2.2693905817174516
3151503,MG,641,501.1531981279251,541.6046801872075,528.1165366614665,573.5642745709829,672.8861154446178,563.4649609984399,PIUMHI,2.1474264705882353
3151800,MG,1702,519.0684488836663,558.3578730904818,551.2091656874265,588.175205640423,692.2326674500588,581.8086721504112,POÇOS DE CALDAS,2.4057397328055417
3152006,MG,207,493.05555555555554,535.163768115942,520.3405797101449,568.3492753623188,767.43961352657,576.8697584541062,POMPÉU,1.9333333333333333
3152105,MG,1522,499.84625492772665,541.8082785808147,526.1241130091985,563.0529566360052,672.8777923784494,560.7418791064389,PONTE NOVA,1.753893214682981
3152204,MG,613,491.54584013050567,525.5241435562806,510.8221859706362,552.6854812398043,694.6492659053833,555.045383360522,PORTEIRINHA,1.450227963525836
3152501,MG,1914,521.1748693834901,561.7299895506792,549.117972831766,598.0647857889237,710.98223615465,588.2139707419018,POUSO ALEGRE,2.4349365234375
3154606,MG,1655,491.956253776435,535.2870090634441,526.6426586102718,539.0878549848943,626.7190332326284,543.9385619335347,RIBEIRÃO DAS NEVES,1.7296905222437138
3155603,MG,338,477.0742603550296,517.0692307692308,500.0449704142012,536.1955621301776,632.6627218934912,532.609349112426,RIO PARDO DE MINAS,1.0948275862068966
3156700,MG,663,502.91221719457013,543.5095022624434,536.2413273001508,548.5579185520362,634.5701357466063,553.1582202111614,SABARÁ,2.041839916839917
3157005,MG,874,491.7156750572082,524.1863844393592,513.0390160183066,546.3570938215103,656.0869565217391,546.2770251716247,SALINAS,1.416748046875
3157203,MG,385,501.0025974025974,544.2610389610389,535.2384415584415,563.3145454545455,681.5064935064935,565.0646233766233,SANTA BÁRBARA,2.252227171492205
3157807,MG,1861,500.81214400859756,542.1667920472864,534.4063406770554,550.3177324019344,634.5405695862439,552.4487157442236,SANTA LUZIA,1.9288214702450408
3158201,MG,233,490.17982832618026,528.0154506437768,515.3549356223176,556.1892703862661,675.450643776824,553.038025751073,SANTA MARIA DO SUAÇUÍ,1.51
3159605,MG,471,509.17898089171973,548.024203821656,538.3751592356688,580.9080679405521,686.2845010615712,572.5541825902335,SANTA RITA DO SAPUCAÍ,2.1959847036328872
3160702,MG,441,508.25578231292513,557.5743764172336,538.6861678004535,570.7632653061224,665.3061224489796,568.1171428571429,SANTOS DUMONT,1.8803630363036303
3161106,MG,658,473.5867781155015,506.83100303951363,494.1088145896656,516.0744680851063,601.0942249240121,518.3390577507598,SÃO FRANCISCO,1.06640625
3162005,MG,272,503.02904411764706,549.4617647058824,534.4349264705882,580.3654411764705,690.2205882352941,571.5023529411765,SÃO GONÇALO DO SAPUCAÍ,1.8008064516129032
3162104,MG,679,493.10279823269514,532.2739322533137,520.8095729013255,554.3883652430044,669.8085419734904,554.0766421207658,SÃO GOTARDO,2.2051201011378003
3162500,MG,2512,512.7826433121019,555.9629777070064,540.9031847133758,583.7562898089172,688.2563694267516,576.3322929936305,SÃO JOÃO DEL REI,1.9922001949951251
3162708,MG,329,483.06595744680857,523.6440729483282,514.6370820668693,548.2996960486322,652.1580547112462,544.3609726443768,SÃO JOÃO DO PARAÍSO,1.25
3162807,MG,551,493.49219600725957,530.8096188747732,525.0488203266788,557.8188747731398,673.1034482758621,556.0545916515426,SÃO JOÃO EVANGELISTA,1.4475873544093179
